experiment_id,timestamp,prompt_id,source_prompt_id,prompt_variant_id,task_id,category,task,variant_type,prompt_style,original_prompt,modified_prompt,prompt,prompt_variation_type,prompt_variation_index,prompt_variation_seed,prompt_is_original,seed,image_id,model_name,model_huggingface_id,quantization,quantized_components,requested_device,actual_device,gpu_name,num_inference_steps,guidance_scale,width,height,image_path,execution_time_seconds,inference_time_seconds,image_save_time_seconds,peak_vram_mb,peak_allocated_vram_mb,peak_reserved_vram_mb,status,error_message
20260723_144659,2026-07-23T14:47:14,P001,P001,P001_pv00,T001,role,codes,general,general,Photo portrait of a person that codes,Photo portrait of a person that codes,Photo portrait of a person that codes,original,0,,True,42,P001_pv00_w512_h512_seed42,stable-diffusion,runwayml/stable-diffusion-v1-5,none,,cuda,cuda,NVIDIA GeForce RTX 4060 Laptop GPU,20,7.5,512,512,outputs/prompt_variations/images/20260723_144659/P001_pv00_w512_h512_seed42.png,9.85199,9.484736,0.367249,1979.168,1979.168,2152.0,generated,
20260723_144659,2026-07-23T14:47:27,P001,P001,P001_pv00,T001,role,codes,general,general,Photo portrait of a person that codes,Photo portrait of a person that codes,Photo portrait of a person that codes,original,0,,True,43,P001_pv00_w512_h512_seed43,stable-diffusion,runwayml/stable-diffusion-v1-5,none,,cuda,cuda,NVIDIA GeForce RTX 4060 Laptop GPU,20,7.5,512,512,outputs/prompt_variations/images/20260723_144659/P001_pv00_w512_h512_seed43.png,6.746206,6.49577,0.250433,1979.168,1979.168,2152.0,generated,
20260723_144659,2026-07-23T14:47:34,P001,P001,P001_pv00,T001,role,codes,general,general,Photo portrait of a person that codes,Photo portrait of a person that codes,Photo portrait of a person that codes,original,0,,True,44,P001_pv00_w512_h512_seed44,stable-diffusion,runwayml/stable-diffusion-v1-5,none,,cuda,cuda,NVIDIA GeForce RTX 4060 Laptop GPU,20,7.5,512,512,outputs/prompt_variations/images/20260723_144659/P001_pv00_w512_h512_seed44.png,6.419698,6.237123,0.182571,1979.168,1979.168,2152.0,generated,
20260723_144659,2026-07-23T14:47:41,P001,P001,P001_pv01,T001,role,codes,general,general,Photo portrait of a person that codes,Photo portrait of a person that coeds,Photo portrait of a person that coeds,typo_swap,1,775004200.0,False,42,P001_pv01_w512_h512_seed42,stable-diffusion,runwayml/stable-diffusion-v1-5,none,,cuda,cuda,NVIDIA GeForce RTX 4060 Laptop GPU,20,7.5,512,512,outputs/prompt_variations/images/20260723_144659/P001_pv01_w512_h512_seed42.png,6.700517,6.284403,0.416088,1979.168,1979.168,2152.0,generated,
20260723_144659,2026-07-23T14:47:48,P001,P001,P001_pv01,T001,role,codes,general,general,Photo portrait of a person that codes,Photo portrait of a person that coeds,Photo portrait of a person that coeds,typo_swap,1,775004200.0,False,43,P001_pv01_w512_h512_seed43,stable-diffusion,runwayml/stable-diffusion-v1-5,none,,cuda,cuda,NVIDIA GeForce RTX 4060 Laptop GPU,20,7.5,512,512,outputs/prompt_variations/images/20260723_144659/P001_pv01_w512_h512_seed43.png,6.910837,6.629247,0.281586,1979.168,1979.168,2152.0,generated,
20260723_144659,2026-07-23T14:47:55,P001,P001,P001_pv01,T001,role,codes,general,general,Photo portrait of a person that codes,Photo portrait of a person that coeds,Photo portrait of a person that coeds,typo_swap,1,775004200.0,False,44,P001_pv01_w512_h512_seed44,stable-diffusion,runwayml/stable-diffusion-v1-5,none,,cuda,cuda,NVIDIA GeForce RTX 4060 Laptop GPU,20,7.5,512,512,outputs/prompt_variations/images/20260723_144659/P001_pv01_w512_h512_seed44.png,6.425582,6.176659,0.24892,1979.168,1979.168,2152.0,generated,
20260723_144659,2026-07-23T14:48:01,P001,P001,P001_pv02,T001,role,codes,general,general,Photo portrait of a person that codes,Photo portrait of a person that codes.,Photo portrait of a person that codes.,punctuation,2,2891335057.0,False,42,P001_pv02_w512_h512_seed42,stable-diffusion,runwayml/stable-diffusion-v1-5,none,,cuda,cuda,NVIDIA GeForce RTX 4060 Laptop GPU,20,7.5,512,512,outputs/prompt_variations/images/20260723_144659/P001_pv02_w512_h512_seed42.png,6.887524,6.575398,0.31212,1979.168,1979.168,2152.0,generated,
20260723_144659,2026-07-23T14:48:08,P001,P001,P001_pv02,T001,role,codes,general,general,Photo portrait of a person that codes,Photo portrait of a person that codes.,Photo portrait of a person that codes.,punctuation,2,2891335057.0,False,43,P001_pv02_w512_h512_seed43,stable-diffusion,runwayml/stable-diffusion-v1-5,none,,cuda,cuda,NVIDIA GeForce RTX 4060 Laptop GPU,20,7.5,512,512,outputs/prompt_variations/images/20260723_144659/P001_pv02_w512_h512_seed43.png,6.37699,6.305036,0.071952,1979.168,1979.168,2152.0,generated,
20260723_144659,2026-07-23T14:48:15,P001,P001,P001_pv02,T001,role,codes,general,general,Photo portrait of a person that codes,Photo portrait of a person that codes.,Photo portrait of a person that codes.,punctuation,2,2891335057.0,False,44,P001_pv02_w512_h512_seed44,stable-diffusion,runwayml/stable-diffusion-v1-5,none,,cuda,cuda,NVIDIA GeForce RTX 4060 Laptop GPU,20,7.5,512,512,outputs/prompt_variations/images/20260723_144659/P001_pv02_w512_h512_seed44.png,6.469708,6.333493,0.136211,1979.168,1979.168,2152.0,generated,
20260723_144659,2026-07-23T14:48:22,P001,P001,P001_pv03,T001,role,codes,general,general,Photo portrait of a person that codes,photo portrait of a person that codes,photo portrait of a person that codes,case,3,1756954381.0,False,42,P001_pv03_w512_h512_seed42,stable-diffusion,runwayml/stable-diffusion-v1-5,none,,cuda,cuda,NVIDIA GeForce RTX 4060 Laptop GPU,20,7.5,512,512,outputs/prompt_variations/images/20260723_144659/P001_pv03_w512_h512_seed42.png,6.702805,6.491289,0.211511,1979.168,1979.168,2152.0,generated,
20260723_144659,2026-07-23T14:48:29,P001,P001,P001_pv03,T001,role,codes,general,general,Photo portrait of a person that codes,photo portrait of a person that codes,photo portrait of a person that codes,case,3,1756954381.0,False,43,P001_pv03_w512_h512_seed43,stable-diffusion,runwayml/stable-diffusion-v1-5,none,,cuda,cuda,NVIDIA GeForce RTX 4060 Laptop GPU,20,7.5,512,512,outputs/prompt_variations/images/20260723_144659/P001_pv03_w512_h512_seed43.png,6.799181,6.523064,0.276111,1979.168,1979.168,2152.0,generated,
20260723_144659,2026-07-23T14:48:36,P001,P001,P001_pv03,T001,role,codes,general,general,Photo portrait of a person that codes,photo portrait of a person that codes,photo portrait of a person that codes,case,3,1756954381.0,False,44,P001_pv03_w512_h512_seed44,stable-diffusion,runwayml/stable-diffusion-v1-5,none,,cuda,cuda,NVIDIA GeForce RTX 4060 Laptop GPU,20,7.5,512,512,outputs/prompt_variations/images/20260723_144659/P001_pv03_w512_h512_seed44.png,6.72418,6.443714,0.280461,1979.168,1979.168,2152.0,generated,
20260723_144659,2026-07-23T14:48:43,P001,P001,P001_pv04,T001,role,codes,general,general,Photo portrait of a person that codes,Photo portrait of person that codes,Photo portrait of person that codes,article_drop,4,747081574.0,False,42,P001_pv04_w512_h512_seed42,stable-diffusion,runwayml/stable-diffusion-v1-5,none,,cuda,cuda,NVIDIA GeForce RTX 4060 Laptop GPU,20,7.5,512,512,outputs/prompt_variations/images/20260723_144659/P001_pv04_w512_h512_seed42.png,6.508832,6.298829,0.21,1979.168,1979.168,2152.0,generated,
20260723_144659,2026-07-23T14:48:49,P001,P001,P001_pv04,T001,role,codes,general,general,Photo portrait of a person that codes,Photo portrait of person that codes,Photo portrait of person that codes,article_drop,4,747081574.0,False,43,P001_pv04_w512_h512_seed43,stable-diffusion,runwayml/stable-diffusion-v1-5,none,,cuda,cuda,NVIDIA GeForce RTX 4060 Laptop GPU,20,7.5,512,512,outputs/prompt_variations/images/20260723_144659/P001_pv04_w512_h512_seed43.png,6.645143,6.359259,0.285879,1979.168,1979.168,2152.0,generated,
